test,rad,%,MFCS_forb,MFCS_scat,MFCS_score,MFCS_time,TGV_forb,TGV_scat,TGV_score,TGV_time,TGV2_forb,TGV2_scat,TGV2_score,TGV2_time,tree_forb,tree_scat,tree_score,tree_time,tree_shrink_forb,tree_shrink_scat,tree_shrink_score,tree_shrink_time,ldit_forb,ldit_scat,ldit_score,ldit_time,ldpow_forb,ldpow_scat,ldpow_score,ldpow_time,TGV3_forb,TGV3_scat,TGV3_score,TGV3_time
big/cl-12-0.txtg,4,100,1429,1624,4,0:01.22,0,9,9,3:39.72,0,75,75,3:24.75,0,134,134,0:00.07,0,134,134,0:00.05,0,137,137,0:00.05,0,151,151,0:10.80,-,-,-,TIMEOUT
big/cl-12-0.txtg,4,20,756,419,2,0:00.13,0,1,1,2:49.16,0,1,1,2:36.67,0,48,48,0:00.03,0,48,48,0:00.03,0,56,56,0:00.03,0,59,59,0:01.90,0,60,60,8:09.60
big/cl-12-1.txtg,4,100,1430,1636,4,0:01.25,0,1,1,3:54.20,0,1,1,3:34.24,0,128,128,0:00.07,0,128,128,0:00.05,0,140,140,0:00.05,0,155,155,0:11.10,-,-,-,TIMEOUT
big/cl-12-1.txtg,4,20,800,449,2,0:00.13,0,1,1,2:42.07,0,27,27,2:23.84,0,53,53,0:00.04,0,53,53,0:00.03,0,59,59,0:00.03,0,66,66,0:01.94,0,67,67,7:55.37
big/clh-12-0.txtg,4,100,1301,963,2,0:00.15,0,2,2,1:26.29,0,102,102,1:22.57,0,163,163,0:00.06,0,163,163,0:00.04,0,170,170,0:00.04,0,220,220,0:07.33,-,-,-,TIMEOUT
big/clh-12-0.txtg,4,20,693,396,1,0:00.06,0,7,7,1:10.88,0,70,70,1:03.38,0,104,104,0:00.04,0,104,104,0:00.02,0,109,109,0:00.03,0,123,123,0:01.29,0,121,121,8:13.42
big/clh-12-1.txtg,4,100,1289,957,2,0:00.16,0,2,2,1:32.97,0,79,79,1:25.41,0,160,160,0:00.06,0,160,160,0:00.04,0,165,165,0:00.04,0,204,204,0:07.17,-,-,-,TIMEOUT
big/clh-12-1.txtg,4,20,663,389,1,0:00.06,5,2,1,1:11.33,0,58,58,0:58.72,0,103,103,0:00.03,0,103,103,0:00.03,0,109,109,0:00.03,0,119,119,0:01.25,0,121,121,8:00.53
big/cond-mat.txtg,4,100,2015,2066,9,0:01.26,0,816,816,0:59.88,0,1123,1123,0:52.91,0,1318,1318,0:00.96,0,1318,1318,0:00.33,0,1361,1361,0:00.18,0,1411,1411,0:21.48,-,-,-,TIMEOUT
big/cond-mat.txtg,4,20,718,434,3,0:00.17,0,405,405,1:04.67,0,599,599,0:54.12,0,673,673,0:00.22,0,673,673,0:00.12,0,693,693,0:00.11,0,746,746,0:03.57,-,-,-,TIMEOUT
big/fvs001.txtg,4,100,792,4726,4,0:00.72,0,9,9,0:10.92,0,83,83,0:10.38,0,76,76,0:00.73,0,76,76,0:00.22,0,93,93,0:00.55,0,98,98,0:19.83,-,-,-,TIMEOUT
big/fvs001.txtg,4,20,384,972,4,0:00.08,0,9,9,0:07.51,0,25,25,0:06.51,0,35,35,0:00.06,0,35,35,0:00.04,0,33,33,0:00.10,0,59,59,0:02.75,-,-,-,TIMEOUT
big/fvs022.txtg,4,100,1015,9420,411,0:03.08,7,22,19,0:26.95,16,156,40,0:22.37,0,116,116,0:04.12,0,116,116,0:01.62,0,119,119,0:02.04,9,2550,427,1:25.23,-,-,-,TIMEOUT
