test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,fill-in_wcol,fill-in_time,berlin.sna_wcol,berlin.sna_time,WReachR_wcol,WReachR_time,SReach_wcol,SReachR_time,felixR_wcol,felixR_time
planar350,4,15,0:00.01 ,25,0:00.23 ,23,0:00.02 ,15,0:00.02 ,18,0:00.02 ,15,0:00.02 ,24,0:00.25 
planar400,4,16,0:00.01 ,35,0:00.41 ,20,0:00.00 ,16,0:00.01 ,14,0:00.02 ,15,0:00.01 ,23,0:00.26 
planar500,4,13,0:00.01 ,25,0:00.30 ,18,0:00.00 ,15,0:00.00 ,15,0:00.00 ,14,0:00.03 ,26,0:00.21 
planar600,4,13,0:00.01 ,23,0:00.57 ,15,0:00.00 ,13,0:00.01 ,16,0:00.01 ,13,0:00.03 ,21,0:00.29 
polbooks,4,33,0:00.00 ,46,0:00.11 ,28,0:00.00 ,38,0:00.00 ,28,0:00.01 ,27,0:00.00 ,43,0:00.22 
word_adjacencies,4,43,0:00.00 ,48,0:00.10 ,41,0:00.01 ,49,0:00.00 ,38,0:00.00 ,36,0:00.01 ,52,0:00.23 
bergen,5,22,0:00.01 ,24,0:00.08 ,22,0:00.00 ,22,0:00.00 ,22,0:00.01 ,21,0:00.00 ,29,0:00.16 
dolphins,5,26,0:00.00 ,26,0:00.08 ,22,0:00.00 ,31,0:00.00 ,24,0:00.01 ,21,0:00.00 ,33,0:00.18 
football,5,95,0:00.00 ,87,0:00.13 ,63,0:00.05 ,99,0:00.00 ,87,0:00.01 ,62,0:00.03 ,110,0:00.40 
fvs002,5,20,0:00.00 ,17,0:00.30 ,16,0:00.00 ,16,0:00.01 ,19,0:00.00 ,16,0:00.02 ,22,0:00.27 
fvs020,5,12,0:00.00 ,10,0:00.08 ,9,0:00.00 ,11,0:00.00 ,11,0:00.01 ,9,0:00.01 ,10,0:00.17 
fvs033,5,44,0:00.00 ,41,0:03.87 ,30,0:00.24 ,60,0:00.01 ,35,0:00.01 ,29,0:00.10 ,47,0:00.67 
fvs047,5,40,0:00.00 ,36,0:00.11 ,25,0:00.01 ,46,0:00.00 ,29,0:00.00 ,26,0:00.00 ,47,0:00.21 
fvs051,5,46,0:00.01 ,36,0:00.09 ,31,0:00.02 ,45,0:00.01 ,46,0:00.00 ,33,0:00.01 ,44,0:00.21 
fvs066,5,119,0:00.01 ,74,0:00.18 ,81,0:00.06 ,129,0:00.00 ,111,0:00.00 ,81,0:00.02 ,118,0:00.52 
fvs097,5,43,0:00.00 ,45,0:00.11 ,31,0:00.03 ,42,0:00.00 ,46,0:00.00 ,36,0:00.00 ,48,0:00.19 
fvs099,5,10,0:00.00 ,10,0:00.09 ,11,0:00.00 ,10,0:00.00 ,10,0:00.00 ,9,0:00.00 ,11,0:00.14 
fvs100,5,45,0:00.00 ,46,0:00.26 ,30,0:00.01 ,50,0:00.00 ,49,0:00.01 ,35,0:00.01 ,51,0:00.27 
hex,5,56,0:00.00 ,53,0:00.72 ,38,0:00.04 ,54,0:00.00 ,40,0:00.01 ,40,0:00.03 ,57,0:00.40 
karate,5,9,0:00.00 ,8,0:00.09 ,11,0:00.00 ,10,0:00.00 ,9,0:00.00 ,9,0:00.01 ,17,0:00.15 
lesmiserables,5,18,0:00.00 ,20,0:00.08 ,28,0:00.01 ,20,0:00.01 ,18,0:00.00 ,23,0:00.00 ,34,0:00.14 
photoviz_dynamic,5,30,0:00.00 ,39,0:00.33 ,23,0:00.01 ,43,0:00.00 ,29,0:00.02 ,25,0:00.03 ,43,0:00.34 
planar302,5,15,0:00.00 ,29,0:00.29 ,24,0:00.00 ,15,0:00.00 ,15,0:00.00 ,16,0:00.01 ,36,0:00.20 
planar350,5,17,0:00.01 ,25,0:00.23 ,26,0:00.02 ,16,0:00.02 ,18,0:00.00 ,17,0:00.05 ,33,0:00.28 
planar400,5,17,0:00.01 ,38,0:00.41 ,24,0:00.00 ,16,0:00.01 ,17,0:00.00 ,17,0:00.04 ,32,0:00.32 
planar500,5,14,0:00.01 ,27,0:00.30 ,20,0:00.00 ,16,0:00.00 ,18,0:00.01 ,16,0:00.02 ,33,0:00.33 
planar600,5,14,0:00.01 ,23,0:00.57 ,18,0:00.00 ,15,0:00.01 ,15,0:00.00 ,15,0:00.02 ,28,0:00.37 
polbooks,5,35,0:00.00 ,48,0:00.11 ,29,0:00.00 ,42,0:00.00 ,31,0:00.00 ,31,0:00.00 ,49,0:00.20 
word_adjacencies,5,49,0:00.00 ,48,0:00.10 ,41,0:00.01 ,53,0:00.00 ,41,0:00.01 ,38,0:00.01 ,59,0:00.23 
