test,rad,%,MFCS_forb,MFCS_scat,MFCS_time,TGV_forb,TGV_scat,TGV_time,TGV2_forb,TGV2_scat,TGV2_time,tree_forb,tree_scat,tree_time,tree_shrink_forb,tree_shrink_scat,tree_shrink_time,ldit_forb,ldit_scat,ldit_time,ldpow_forb,ldpow_scat,ldpow_time,TGV3_forb,TGV3_scat,TGV3_time
small/dolphins.txtg,4,100,22,16,0:00.00,1,4,0:00.02,1,4,0:00.02,0,2,0:00.00,0,2,0:00.00,0,2,0:00.00,0,4,0:00.00,0,4,0:00.19
small/dolphins.txtg,4,20,13,8,0:00.00,1,2,0:00.02,1,2,0:00.02,2,2,0:00.00,2,2,0:00.00,0,2,0:00.00,0,2,0:00.00,0,2,0:00.06
small/football.txtg,4,100,59,12,0:00.00,0,1,0:00.36,0,1,0:00.36,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.02,0,1,0:04.13
small/football.txtg,4,20,43,6,0:00.00,0,1,0:00.32,0,1,0:00.33,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.01,0,1,0:01.47
small/fvs002.txtg,4,100,0,22,0:00.00,0,18,0:00.04,0,35,0:00.04,0,42,0:00.01,0,42,0:00.01,0,48,0:00.01,0,56,0:00.03,0,56,0:04.39
small/fvs002.txtg,4,20,20,30,0:00.00,0,13,0:00.03,0,25,0:00.02,0,26,0:00.00,0,26,0:00.00,0,27,0:00.00,0,31,0:00.01,0,31,0:00.87
small/fvs020.txtg,4,100,9,17,0:00.00,0,5,0:00.01,0,6,0:00.01,0,8,0:00.00,0,8,0:00.00,0,8,0:00.00,0,9,0:00.00,0,9,0:00.10
small/fvs020.txtg,4,20,4,5,0:00.00,0,3,0:00.00,0,4,0:00.01,0,4,0:00.00,0,4,0:00.00,0,5,0:00.00,0,5,0:00.00,0,5,0:00.03
small/fvs033.txtg,4,100,0,18,0:00.01,0,29,0:00.09,0,38,0:00.08,0,21,0:00.01,0,21,0:00.01,0,25,0:00.01,0,43,0:00.04,0,45,0:02.78
small/fvs033.txtg,4,20,0,9,0:00.01,0,14,0:00.06,0,24,0:00.05,0,23,0:00.00,0,23,0:00.01,0,24,0:00.01,0,33,0:00.01,0,32,0:00.87
small/fvs047.txtg,4,100,31,15,0:00.01,0,3,0:00.04,0,3,0:00.03,0,3,0:00.00,0,3,0:00.00,0,3,0:00.00,0,5,0:00.01,0,5,0:00.25
small/fvs047.txtg,4,20,11,7,0:00.00,0,3,0:00.02,0,3,0:00.03,0,3,0:00.00,0,3,0:00.00,0,2,0:00.00,0,3,0:00.00,0,3,0:00.10
small/fvs051.txtg,4,100,24,5,0:00.00,12,2,0:00.05,12,2,0:00.05,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.01,0,1,0:00.38
