test,rad,%,mfcs_forb,mfcs_scat,mfcs_score,mfcs_time,new1_forb,new1_scat,new1_score,new1_time,new2_forb,new2_scat,new2_score,new2_time,tree1_forb,tree1_scat,tree1_score,tree1_time,tree2_forb,tree2_scat,tree2_score,tree2_time,ld_it_forb,ld_it_scat,ld_it_score,ld_it_time,ld_forb,ld_scat,ld_score,ld_time,new_ld_forb,new_ld_scat,new_ld_score,new_ld_time
medium/sb-10-0.txtg,2,20,0,20,20,0:00.01,0,17,17,0:00.08,0,51,51,0:00.05,0,58,58,0:00.01,0,58,58,0:00.01,0,66,66,0:00.02,0,74,74,0:00.02,0,75,75,0:02.62
medium/sb-10-1.txtg,2,100,0,43,43,0:00.02,0,33,33,0:00.10,0,82,82,0:00.08,0,118,118,0:00.02,0,118,118,0:00.02,0,126,126,0:00.02,0,150,150,0:00.06,0,149,149,0:16.31
medium/sb-10-1.txtg,2,20,0,21,21,0:00.01,0,17,17,0:00.09,0,51,51,0:00.05,0,54,54,0:00.01,0,54,54,0:00.01,0,63,63,0:00.01,0,72,72,0:00.02,0,73,73,0:02.50
medium/sb-10-2.txtg,2,100,0,36,36,0:00.01,0,29,29,0:00.11,0,82,82,0:00.07,0,117,117,0:00.02,0,117,117,0:00.01,0,123,123,0:00.01,0,151,151,0:00.06,0,151,151,0:16.48
medium/sb-10-2.txtg,2,20,0,18,18,0:00.01,0,15,15,0:00.06,0,51,51,0:00.04,0,51,51,0:00.01,0,51,51,0:00.01,0,59,59,0:00.01,0,71,71,0:00.02,0,71,71,0:02.55
medium/sp_data_school_day_2.txtg,2,100,32,11,1,0:00.02,1,2,2,0:02.09,0,3,3,0:01.94,0,6,6,0:00.02,0,6,6,0:00.02,0,6,6,0:00.02,0,7,7,0:00.07,0,7,7,0:12.12
medium/sp_data_school_day_2.txtg,2,20,2,6,2,0:00.02,1,2,2,0:01.65,10,2,2,0:01.59,0,3,3,0:00.01,0,3,3,0:00.01,0,3,3,0:00.01,0,5,5,0:00.03,0,5,5,0:04.77
medium/yeast.txtg,2,100,2,213,209,0:00.07,0,187,187,0:00.44,0,349,349,0:00.44,0,495,495,0:00.09,0,495,495,0:00.04,0,496,496,0:00.05,0,539,539,0:00.19,0,539,539,5:07.02
medium/yeast.txtg,2,20,0,86,86,0:00.02,0,77,77,0:00.60,0,146,146,0:00.21,0,177,177,0:00.02,0,177,177,0:00.02,0,185,185,0:00.02,0,192,192,0:00.06,0,192,192,0:27.05
medium/airlines.txtg,3,100,68,126,8,0:00.01,1,8,8,0:00.20,1,8,8,0:00.19,2,19,9,0:00.02,1,9,9,0:00.01,2,19,9,0:00.02,1,13,11,0:00.05,1,13,11,0:07.89
medium/airlines.txtg,3,20,24,29,3,0:00.01,1,4,4,0:00.15,1,4,4,0:00.14,0,1,1,0:00.00,0,1,1,0:00.00,0,2,2,0:00.00,1,5,3,0:00.03,1,5,4,0:01.22
medium/celegans.txtg,3,100,132,85,10,0:00.02,0,1,1,0:01.03,0,1,1,0:00.94,1,17,13,0:00.01,1,12,12,0:00.01,1,16,12,0:00.01,1,18,13,0:00.09,1,18,14,0:11.58
medium/celegans.txtg,3,20,46,18,2,0:00.01,1,3,2,0:00.80,1,3,2,0:00.74,1,4,3,0:00.01,1,5,5,0:00.01,1,4,4,0:00.01,1,5,4,0:00.03,1,5,4,0:03.77
